ID,Year of Birth,Education Level,Marital Status,Annual Salary,Children at Home,Teenagers at Home,Registration Date,Days Since Last Purchase,Spending on Electronics,Spending on Toys,Spending on Furniture,Spending on Utilities,Spending on Food,Spending on Clothing,Number of Discount Purchases,Number of Web Purchases,Number of Catalog Purchases,Number of Store Purchases,Number of Website Visits per Month,Purchase in Campaign 1,Purchase in Campaign 2,Purchase in Campaign 3,Purchase in Campaign 4,Purchase in Campaign 5,Purchased,Country
7264,1978,,Single,52195.0,2,1,05/04/2018,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,Spain
1619,1956,,Single,90369.0,0,0,4/03/2021,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,United States
6398,1974,,Single,18393.0,1,0,3/07/2021,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,United States
1857,1952,,Single,47139.0,1,1,03/06/2018,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,United States
4877,1973,Master's,Single,38576.0,0,1,03/04/2018,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,Argentina
3066,1975,Doctorate,Married,61905.0,0,1,02/04/2018,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,Spain
10286,1962,,Single,83715.0,0,0,02/03/2018,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,Spain
1992,1964,,Single,60597.0,0,1,01/01/2018,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,United States
4246,1982,Master's,Single,6560.0,0,0,12/04/2020,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,United States
10623,1961,Master's,Married,48330.0,0,1,11/03/2023,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,United States
4867,1968,Doctorate,Single,38236.0,1,1,09/05/2022,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,United States
3112,1977,Master's,Single,22701.0,1,0,09/05/2020,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,United States
4865,1974,Master's,Divorced,53367.0,1,1,8/08/2023,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,Brazil
6287,1986,,Married,34728.0,1,0,7/02/2023,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,United States
4405,1956,Master's,Single,63915.0,0,2,7/02/2023,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,Brazil
5332,1960,,Single,82504.0,0,0,7/03/2023,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,Argentina
1519,1972,Doctorate,Single,38578.0,1,1,6/04/2023,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,United States
9080,1972,Doctorate,Single,38578.0,1,1,6/04/2023,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,United States
1772,1975,Doctorate,Single,79174.0,0,0,01/11/2020,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,Chile
5341,1962,,Divorced,81975.0,0,1,01/05/2020,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,Spain
5510,1977,Master's,Single,43263.0,0,1,11/04/2022,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,United States
3887,1970,,Single,27242.0,1,0,11/11/2019,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,Argentina
7022,1971,,Single,76445.0,1,0,09/03/2022,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,Spain
9999,1965,,Married,75276.0,0,0,09/08/2022,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,United States
10352,1963,,Divorced,34213.0,1,1,09/07/2019,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,Spain
7919,1976,Doctorate,Married,72335.0,0,0,8/07/2022,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,United States
4114,1964,Master's,Single,79143.0,0,0,08/11/2019,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,Brazil
7990,1947,,Single,27469.0,0,0,08/02/2019,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,Chile
9888,1969,,Married,68695.0,0,0,6/04/2021,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,United States
4399,1969,,Married,68695.0,0,0,6/04/2021,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,Chile
4452,1957,,Single,50388.0,0,1,5/03/2021,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,Germany
4785,1970,Doctorate,Married,77622.0,0,2,4/02/2021,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,Spain
8461,1962,,Divorced,46102.0,2,1,03/10/2018,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,United States
3878,1980,,Single,31859.0,1,0,2/03/2021,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,United States
9612,1987,,Single,23830.0,0,0,02/07/2018,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,United States
4098,1973,,Single,24639.0,1,1,1/03/2021,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,Brazil
158,1945,Doctorate,Married,71604.0,0,0,11/02/2023,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,United States
3896,1984,,Single,27255.0,1,0,11/07/2020,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,United States
9970,1977,,Married,55375.0,0,1,10/02/2023,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,Chile
4002,1960,Doctorate,Single,77037.0,0,1,10/07/2023,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,United States
10914,1970,,Single,24163.0,1,1,10/04/2020,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,United States
7279,1969,Doctorate,Married,69476.0,0,0,9/02/2023,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,
10582,1979,,Single,72063.0,0,1,07/03/2020,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,Germany
4470,1962,Master's,Single,58646.0,0,1,06/10/2020,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,United States
6183,1962,Master's,Single,58646.0,0,1,06/10/2020,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,Germany
6379,1949,Master's,Divorced,47570.0,1,1,5/07/2023,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,
8601,1980,,Single,80011.0,0,1,4/07/2023,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,Brazil
4827,1956,Doctorate,Single,54998.0,0,1,03/10/2020,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,United States
6715,1948,Doctorate,Single,60200.0,0,1,01/02/2020,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,United States
10676,1982,,Single,63211.0,0,0,11/02/2019,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,United States
1041,1973,Doctorate,Single,48432.0,0,1,10/04/2022,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,Spain
492,1973,Doctorate,Married,48432.0,0,1,10/04/2022,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,Chile
11133,1973,Doctorate,Married,48432.0,0,1,10/04/2022,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,Argentina
4491,1949,Master's,Single,62845.0,1,1,10/01/2019,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,United States
873,1949,Master's,Single,62845.0,1,1,10/01/2019,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,United States
1631,1965,Doctorate,Married,65220.0,0,0,09/03/2019,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,Germany
8278,1990,Doctorate,Single,74214.0,0,0,8/03/2022,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,United States
6815,1980,,Single,96547.0,0,0,5/04/2021,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,United States
254,1955,,Married,53863.0,0,1,5/02/2021,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,United States
1349,1970,,Single,50447.0,2,0,4/04/2021,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,Argentina
2534,1953,,Single,37716.0,0,1,4/04/2021,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,Brazil
2130,1982,,Married,45203.0,2,0,3/04/2021,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,Spain
2296,1975,Master's,Single,37368.0,1,0,12/01/2023,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,United States
3799,1955,,Single,67225.0,0,1,11/03/2023,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,
11084,1976,Master's,Married,65104.0,0,1,11/02/2023,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,Chile
5172,1976,Master's,Married,65104.0,0,1,11/02/2023,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,United States
9504,1949,Master's,Single,81698.0,0,0,11/06/2020,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,United States
850,1968,,Single,70566.0,0,1,10/06/2020,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,United States
4477,1958,,Married,69096.0,0,1,9/03/2023,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,Germany
1945,1962,,Single,71434.0,0,1,09/05/2022,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,United States
7685,1978,,Single,33039.0,1,0,09/09/2020,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,United States
6310,1978,,Single,33039.0,1,0,09/09/2020,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,Chile
10832,1958,,Married,46610.0,0,0,07/05/2022,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,United States
3025,1958,,Single,49967.0,0,1,07/08/2020,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,Chile
2404,1976,,Single,53359.0,1,1,5/03/2023,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,
8581,1971,Master's,Single,49505.0,1,1,03/05/2020,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,United States
8755,1946,Master's,Single,68657.0,0,0,02/05/2022,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,Brazil
10177,1954,,Divorced,72071.0,0,1,2/02/2023,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,United States
2429,1954,,Divorced,72071.0,0,1,2/02/2023,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,Chile
8920,1967,Master's,Single,59235.0,1,0,01/03/2020,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,Argentina
8430,1957,,Married,21994.0,0,1,12/04/2022,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,Brazil
8619,1957,,Married,21994.0,0,1,12/04/2022,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,United States
8996,1957,Doctorate,Single,,2,1,11/04/2022,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,Germany
7233,1972,,Single,69209.0,0,0,9/02/2022,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,Chile
6678,1989,,Married,31928.0,1,0,3/03/2021,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,Argentina
830,1987,Doctorate,Single,74004.0,0,0,2/04/2021,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,Argentina
6365,1987,,Single,30390.0,0,0,09/02/2020,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,Argentina
6770,1985,,Single,21355.0,1,0,08/05/2022,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,
2261,1969,,Single,26304.0,1,0,6/04/2023,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,Germany
1031,1989,,Single,85710.0,0,0,05/05/2020,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,Argentina
10089,1974,,Divorced,102692.0,0,0,04/05/2020,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,Spain
9256,1971,,Single,58350.0,0,1,01/04/2020,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,United States
10641,1978,,Single,7500.0,1,1,12/08/2022,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,United States
624,1984,Master's,Single,18890.0,0,0,11/07/2020,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,Spain
4211,1986,,Single,20425.0,1,0,10/09/2022,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,Chile
1407,1986,,Single,20425.0,1,0,10/09/2022,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,Germany
10356,1957,Doctorate,Divorced,41437.0,1,1,9/04/2022,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,United States
9323,1949,Master's,Married,49912.0,0,1,09/07/2019,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,
1146,1949,Master's,Married,49912.0,0,1,09/07/2019,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,Brazil
6343,1959,,Single,79823.0,0,1,3/08/2021,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,Brazil
8545,1954,,Divorced,85683.0,0,0,3/04/2021,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,United States
8275,1965,Doctorate,Divorced,47025.0,1,1,02/09/2018,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,United States
10673,1976,Doctorate,Single,68397.0,0,1,11/02/2023,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,Spain
8799,1984,Doctorate,Single,38175.0,1,0,9/04/2023,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,United States
67,1972,Master's,Single,46423.0,1,1,09/05/2022,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,United States
9923,1972,Master's,Single,46423.0,1,1,09/05/2022,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,United States
2814,1976,Master's,Married,30560.0,1,0,6/03/2023,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,Spain
2711,1976,Master's,Married,30560.0,1,0,6/03/2023,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,Chile
4320,1979,,Single,60152.0,0,1,03/01/2023,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,United States
10451,1965,,Married,29672.0,1,1,03/09/2020,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,Spain
4198,1965,,Married,29672.0,1,1,03/10/2020,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,United States
10814,1947,,Married,70321.0,0,0,01/01/2023,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,United States
944,1962,,Single,56181.0,0,1,01/08/2020,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,United States
8151,1990,,Single,24279.0,0,0,12/09/2022,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,United States
6184,1969,Doctorate,Single,68462.0,0,0,12/04/2019,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,United States
3498,1976,Doctorate,Single,55424.0,0,1,11/04/2022,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,United States
2870,1973,,Single,49094.0,0,1,9/04/2022,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,United States
7342,1961,,Divorced,59184.0,0,1,09/09/2019,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,United States
1911,1987,,Married,67430.0,0,0,09/05/2019,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,Germany
10862,1960,Master's,Single,30522.0,0,1,8/02/2022,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,United States
2546,1977,,Single,31878.0,0,1,6/04/2021,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,United States
3005,1992,,Single,83528.0,0,0,05/01/2018,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,United States
8318,1979,,Married,90300.0,0,0,01/03/2018,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,United States
2930,1978,Master's,Single,68092.0,0,0,12/01/2023,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,Spain
8216,1972,Master's,Single,53761.0,1,1,10/11/2020,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,Brazil
1212,1973,,Single,52845.0,1,0,8/07/2023,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,United States
2541,1976,,Single,24027.0,1,0,06/09/2020,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,United States
10659,1979,,Married,7500.0,1,0,05/07/2020,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,Argentina
10905,1955,,Married,42586.0,1,1,10/09/2022,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,United States
8910,1955,,Married,42586.0,1,1,10/09/2022,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,United States
7349,1973,,Married,9722.0,1,0,10/02/2019,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,United States
7872,1975,Doctorate,Single,86836.0,0,0,09/11/2019,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,United States
4290,1972,,Single,30467.0,1,0,3/04/2021,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,Chile
7408,1952,Doctorate,Single,54549.0,0,1,03/03/2018,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,Spain
9986,1982,,Married,19444.0,1,0,2/04/2021,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,Spain
8235,1956,Master's,Married,69245.0,0,1,1/04/2021,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,Spain
10949,1963,Doctorate,Divorced,72968.0,0,0,12/01/2023,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,United States
7284,1953,,Single,48686.0,1,2,12/04/2020,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,United States
9529,1990,,Single,73687.0,0,0,11/01/2023,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,Spain
9930,1944,Doctorate,Single,82716.0,0,0,11/05/2020,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,Chile
10270,1981,,Single,35523.0,1,0,10/03/2020,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,Germany
760,1975,Doctorate,Divorced,60554.0,1,0,08/09/2020,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,Spain
5519,1956,,Married,64090.0,0,1,08/07/2020,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,Spain
232,1965,,Single,61559.0,0,1,7/02/2023,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,United States
3009,1962,Doctorate,Divorced,71670.0,0,0,07/09/2020,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,United States
6518,1951,Doctorate,Divorced,67680.0,0,1,06/11/2020,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,Brazil
10669,1981,,Single,54386.0,0,1,5/02/2023,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,United States
5682,1953,Doctorate,Single,64108.0,0,1,3/04/2023,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,Brazil
